shortname;license;attribution;permanentUrl?;downloadUrl;infoUrl;infoEmail;enhanceShapes
LVB;dl-de/by-2.0;Leipziger Verkehrsbetriebe (LVB) GmbH;Ja;https://opendata.leipzig.de/dataset/8803f612-2ce1-4643-82d1-213434889200/resource/b38955c4-431c-4e8b-a4ef-9964a3a2c95d/download/gtfsmdvlvb.zip;https://opendata.leipzig.de/dataset/lvb-fahrplandaten;verkehrsbetriebe@L.de;Nein
MDV;cc-by-4.0;MDV GmbH;Ja;https://www.mdv.de/site/uploads/gtfs_mdv.zip;https://www.mdv.de/service/downloads/;daten@mdv.de;Nein
MVG;k.A.;Münchner Verkehrsgesellschaft;Ja;https://www.mvg.de/static/gtfs/google_transit.zip;https://www.mvg.de/services/fahrgastservice/fahrplandaten.html;;Nein
MVV;cc-by;Münchner Verkehrs- und Tarifverbund GmbH;Ja;https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/03-Downloads/openData/mvv_gtfs.zip;https://www.mvv-muenchen.de/fahrplanauskunft/fuer-entwickler/opendata/index.html;;Nein
NAH.SH;CC-BY;Nahverkehrsverbund Schleswig-Holstein GmbH;ja;https://www.connect-info.net/opendata/gtfs/nah.sh/%CONNECT_FAHRPLANINFO_TOKEN%;;;hh-buffered.osm
naldo;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/naldo.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
NDS;CC BY-SA 4.0;Zweckverband Verkehrsverbund Bremen/Niedersachsen;Ja;https://www.connect-info.net/opendata/gtfs/connect-nds-lowlevel/%CONNECT_FAHRPLANINFO_TOKEN%;;;hh-buffered.osm
NDS-toplevel-dhid;CC BY-SA 4.0;Zweckverband Verkehrsverbund Bremen/Niedersachsen;Ja;https://www.connect-info.net/opendata/gtfs/connect-nds-toplevel-dhid/%CONNECT_FAHRPLANINFO_TOKEN%;;;Nein
NDS-toplevel;CC BY-SA 4.0;Zweckverband Verkehrsverbund Bremen/Niedersachsen;Ja;https://www.connect-info.net/opendata/gtfs/connect-nds-toplevel/%CONNECT_FAHRPLANINFO_TOKEN%;;;Nein
NRW;CC BY 4.0;ÖV-Datenverbund NRW;Ja;https://scraped.data.public-transport.earth/de/nrw-gtfs.zip;https://www.opendata-oepnv.de/ht/de/organisation/bundeslaender/nrw/startseite?tx_vrrkit_view%5Bdataset_name%5D=soll-fahrplandaten-nrw&tx_vrrkit_view%5Baction%5D=details&tx_vrrkit_view%5Bcontroller%5D=View;;nrw-buffered.osm
NWL;CC BY 4.0;NWL;Nein;https://www.opendata-oepnv.de/dataset/89892705-b6e7-4ffc-977c-2ba9b86dde46/resource/3253c26e-760c-4a75-b62c-c0fdc20304bf/download/gtfs-nwl-20231214.zip;https://www.opendata-oepnv.de/ht/de/organisation/verkehrsverbuende/nwl/startseite?tx_vrrkit_view%5Bdataset_name%5D=soll-fahrplandaten-nwl&tx_vrrkit_view%5Bdataset_formats%5D%5B0%5D=ZIP&tx_vrrkit_view%5Baction%5D=details&tx_vrrkit_view%5Bcontroller%5D=View;;Nein
OstalbMobil;dl-de/by-2.0;Datensatz der NVBW GmbH;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/oam.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
RNV;dl-de/by-2.0;Rhein-Neckar-Verkehr GmbH (rnv);Ja;https://gtfs-sandbox-dds.rnv-online.de/latest/gtfs.zip;https://opendata.rnv-online.de/dataset/gtfs-general-transit-feed-specification;opendata@rnv-online.de;bw-buffered.osm
SBAHN-S;cc-by-4.0;Deutsche Bahn AG;Ja;https://download-data.deutschebahn.com/static/datasets/sbahn_stuttgart_gtfs/GTFS.zip;https://data.deutschebahn.com/dataset/data-s-bahn-stuttgart-gtfs;dbopendata@deutschebahn.com;bw-buffered.osm
SPNV-BW;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/bwspnv.zip;https://www.nvbw.de/aufgaben/digitale-mobilitaet/;opendata@nvbw.de;Nein
SWISS;Eigene;opentransportdata.swiss;Ja;https://opentransportdata.swiss/de/dataset/timetable-2024-gtfs2020/permalink;https://opentransportdata.swiss/dataset/timetable-2024-gtfs2020;opendata@sbb.ch;Nein
SWU;ODbL-1.0;;Ja;https://gtfs.swu.de/daten/SWU.zip;https://www.swu.de/privatkunden/service/mobilitaet/gtfs-daten/;Christian.Burst@swu.de;bw-buffered.osm
TGO;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/tgo.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
VAGFR;dl-de/by-2.0;VAG Freiburg;Ja;https://www.vag-freiburg.de/fileadmin/gtfs/VAGFR.zip; https://www.vag-freiburg.de/fahrplan/fahrplanauskunft;Klaus.Funke@vagfr.de;Nein
VBB;CC BY 4.0;Verkehrsverbund Berlin-Brandenburg GmbH;Ja;https://www.vbb.de/fileadmin/user_upload/VBB/Dokumente/API-Datensaetze/gtfs-mastscharf/GTFS.zip;https://www.vbb.de/vbb-services/api-open-data/datensaetze/;;Nein
VGC;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/vgc.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
VGF;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/vgf.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
VGN;cc-by-3.0-de;VGN – Verkehrsverbund Großraum Nürnberg GmbH;Ja;https://www.vgn.de/opendata/GTFS.zip;https://www.vgn.de/web-entwickler/open-data/;info@vgn.de;Nein
VHB;dl-de/by-2.0 / Shapes OdbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/vhb.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
VMS;CC-BY-4.0;VMS GmbH;Nein;https://www.vms.de/wp-content/uploads/2023/08/GTFS_VMS_2023-08-28.zip;https://www.vms.de/vms/service/downloads/;info@vms.de;Nein
VMT;cc-by-nd;VMT GmbH;Ja;https://www.vmt-thueringen.de/fileadmin/VMT_Redaktion/OPEN_DATA/VMT_GTFS.zip;https://www.vmt-thueringen.de/service/open-data;;Nein
VRN;dl-de/by-2.0;Verkehrsverbund Rhein-Neckar GmbH;Ja;https://geoportal.vrn.de/services/sharing/rest/content/items/4ec4b1d131eb46a6bb8e216ce9b90eff/data;https://www.vrn.de/opendata/datasets/soll-fahrplandaten-gtfs-aktuell;l.ries@vrn.de;Nein
VRR;cc-by;Verkehrsverbund Rhein-Ruhr AöR;Nein;https://www.opendata-oepnv.de/dataset/496eea5d-d6ef-4dc2-aeb0-d15c4fbf3178/resource/144e9c02-dd36-4a61-8645-188cf242ec9a/download/20231221_gtfs_vrr.zip;https://www.opendata-oepnv.de/ht/de/organisation/verkehrsverbuende/vrr/openvrr/start;openvrr@vrr.de;Nein
VRS;cc-by;Verkehrsverbund Rhein-Sieg GmbH;Ja;https://download.vrsinfo.de/gtfs/GTFS_VRS_mit_SPNV_hID_GlobalID.zip;https://www.vrsinfo.de/fahrplan/oepnv-daten-fuer-webentwickler.html;api@vrsinfo.de;Nein
VPE;dl-de/by-2.0 / Shapes ODbL;Datensatz der NVBW GmbH, Shapes (C) OpenStreetMap Mitwirkende;Ja;https://www.nvbw.de/fileadmin/user_upload/service/open_data/fahrplandaten_mit_liniennetz/vpe.zip;https://www.nvbw.de/open-data/fahrplandaten/fahrplandaten-mit-liniennetz;opendata@nvbw.de;Nein
VVS;cc-by;Verkehrs- und Tarifverbund Stuttgart Gmbh;Ja;https://download.vvs.de/gtfs_realtime.zip;https://www.opendata-oepnv.de/ht/de/organisation/verkehrsverbuende/vvs/startseite?tx_vrrkit_view%5Bdataset_name%5D=soll-fahrplandaten-vvs&tx_vrrkit_view%5Bdataset_formats%5D%5B0%5D=ZIP&tx_vrrkit_view%5Baction%5D=details&tx_vrrkit_view%5Bcontroller%5D=View;;bw-buffered.osm
ZVON;CC BY 4.0;Verkehrsverbund Oberelbe GmbH;Ja;https://katalog.opendata.sachsen.de/store/6/resource/34;https://register.opendata.sachsen.de/catalog/471/datasets/835;opendata@vvo-online.de;Nein
